timestamp,temperature,humidity,temperature_outlier,humidity_outlier
1611512390182,21.3,41.1,,
1611512397893,21.3,40.4,,
1611512400247,21.3,41.1,False,
1611512402601,21.3,41.1,False,
1611512404955,21.3,41.1,False,
1611512412671,21.3,40.4,False,
1611512420385,21.3,40.4,False,
1611512422751,21.3,41.1,False,
1611512425110,21.3,41.1,False,
1611512427469,21.3,39.9,False,
1611512435182,21.3,40.4,False,
1611512442898,21.3,40.4,False,
1611512445255,21.3,41.1,False,
1611512447618,21.3,41.1,False,
1611512449979,21.3,41.1,False,
1611512457691,21.3,40.4,False,
1611512460049,21.3,41.1,False,
1611512473123,21.4,41.1,False,
1611512480840,21.3,39.7,False,
1611512488556,21.3,40.3,False,False
1611512496268,21.4,40.4,False,False
1611512498626,21.3,39.8,False,False
1611512522407,21.3,41.0,False,False
1611512524766,21.3,41.0,False,False
1611512532480,21.3,40.3,False,False
1611512534839,21.4,41.1,False,False
1611512537199,21.3,41.1,False,False
1611512560980,21.4,41.1,False,False
1611512563340,21.3,39.7,False,False
1611512565698,21.3,41.0,False,False
1611512568057,21.3,41.1,False,False
1611512581128,21.4,39.8,False,False
1611512594195,21.4,39.8,False,False
1611512596554,21.4,41.0,False,False
1611512604269,21.3,40.3,False,False
1611512606627,21.4,41.0,False,False
1611512608985,21.4,41.0,False,False
1611512611343,21.4,40.3,False,False
1611512613702,21.4,41.0,False,False
1611512621416,21.4,40.3,False,False
1611512629132,21.4,41.0,False,False
1611512642205,21.4,40.3,False,False
1611512644576,21.4,41.0,False,False
1611512646933,21.4,41.0,False,False
1611512649292,21.4,41.0,False,False
1611512657006,21.4,40.3,False,False
1611512659365,21.4,41.0,False,False
1611512661722,21.4,39.7,False,False
1611512664080,21.4,40.3,False,False
1611512671795,21.4,41.0,False,False
1611512674154,21.4,40.3,False,False
1611512676514,21.4,41.0,False,False
1611512678873,21.4,41.0,False,False
1611512681231,21.4,40.9,False,False
1611512683589,21.4,40.9,False,False
1611512685947,21.4,41.0,False,False
1611512693663,21.4,40.3,False,False
1611512696022,21.4,41.0,False,False
1611512698381,21.4,41.0,False,False
1611512700740,21.4,40.2,False,False
1611512703098,21.4,40.3,False,False
1611512710813,21.4,40.9,False,False
1611512713171,21.4,40.2,False,False
1611512715530,21.4,40.9,False,False
1611512717889,21.4,40.9,False,False
1611512725601,21.4,40.2,False,False
1611512727959,21.4,41.0,False,False
1611512735671,21.4,40.2,False,False
1611512738031,21.4,40.9,False,False
1611512745746,21.5,40.3,False,False
1611512748105,21.4,40.9,False,False
1611512750463,21.4,40.9,False,False
1611512752822,21.4,40.9,False,False
1611512755181,21.4,40.2,False,False
1611512768250,21.4,40.2,False,False
1611512770608,21.4,40.9,False,False
1611512772968,21.5,41.0,False,False
1611512775329,21.4,40.9,False,False
1611512783045,21.5,40.3,False,False
1611512785411,21.5,41.0,False,False
1611512798484,21.4,41.0,False,False
1611512800843,21.5,40.3,False,False
1611512803202,21.4,41.0,False,False
1611512805572,21.5,41.0,False,False
1611512813287,21.5,40.3,False,False
1611512821002,21.5,40.3,False,False
1611512823361,21.5,40.3,False,False
1611512847138,21.5,41.0,False,False
1611512849496,21.5,40.3,False,False
1611512851855,21.4,40.9,False,False
1611512875641,21.5,40.3,False,False
1611512878002,21.5,41.0,False,False
1611512880361,21.5,41.0,False,False
1611512882720,21.5,41.0,False,False
1611512895790,21.5,41.0,False,False
1611512908858,21.5,41.0,False,False
1611512927280,21.5,40.3,False,False
1611512929637,21.5,41.0,False,False
1611512931996,21.5,41.0,False,False
1611512934357,21.5,39.7,False,False
1611512936715,21.5,40.3,False,False
1611512939074,21.5,41.0,False,False
1611512941432,21.5,41.0,False,False
1611512943792,21.5,41.1,False,False
1611512967568,21.5,39.8,False,False
1611512975279,21.5,40.3,False,False
1611512977639,21.5,41.0,False,False
1611512979997,21.5,39.8,False,False
1611512982356,21.5,41.0,False,False
1611512984713,21.5,41.1,False,False
1611512987071,21.5,41.1,False,False
1611512989432,21.5,41.1,False,False
1611512991789,21.5,40.3,False,False
1611512994148,21.5,41.0,False,False
1611512996507,21.5,41.0,False,False
1611513004222,21.5,40.3,False,False
1611513006582,21.5,39.8,False,False
1611513008942,21.5,41.0,False,False
1611513016656,21.5,40.3,False,False
1611513019014,21.5,41.0,False,False
1611513021375,21.5,41.1,False,False
1611513023732,21.5,39.8,False,False
1611513026091,21.6,41.1,False,False
1611513028450,21.6,40.4,False,False
1611513030810,21.5,41.1,False,False
1611513033169,21.5,41.1,False,False
1611513040885,21.6,40.4,False,False
1611513048601,21.6,41.1,False,False
1611513050959,21.6,40.4,False,False
1611513053318,21.6,41.1,False,False
1611513055676,21.6,41.2,False,False
1611513058035,21.6,41.2,False,False
1611513065749,21.6,40.5,False,False
1611513068107,21.6,41.2,False,False
1611513070465,21.6,41.2,False,False
1611513072824,21.6,41.2,False,False
1611513075183,21.6,40.5,False,False
1611513077541,21.6,41.3,False,False
1611513079901,21.6,41.2,False,False
1611513082260,21.6,41.3,False,False
1611513106035,21.6,40.5,False,False
1611513108395,21.6,41.2,False,False
1611513110756,21.6,41.2,False,False
1611513118467,21.6,40.5,False,False
1611513120826,21.6,41.2,False,False
1611513123185,21.6,41.2,False,False
1611513130905,21.6,40.5,False,False
1611513133264,21.6,41.3,False,False
1611513135624,21.6,41.2,False,False
1611513137982,21.6,40.4,False,False
1611513140341,21.6,40.4,False,False
1611513142700,21.6,41.1,False,False
1611513166480,21.6,40.4,False,False
1611513168838,21.6,41.2,False,False
1611513171198,21.6,41.3,False,False
1611513173556,21.6,41.2,False,False
1611513175913,21.6,41.2,False,False
1611513183628,21.6,40.5,False,False
1611513185986,21.6,41.2,False,False
1611513193699,21.6,40.5,False,False
1611513222836,21.6,40.5,False,False
1611513230548,21.6,41.3,False,False
1611513232909,21.6,40.5,False,False
1611513240624,21.6,41.3,False,False
1611513242982,21.6,40.5,False,False
1611513245339,21.6,41.2,False,False
1611513253055,21.6,40.5,False,False
1611513260771,21.6,41.2,False,False
1611513268491,21.6,40.5,False,False
1611513270851,21.6,41.3,False,False
1611513283921,21.6,40.0,False,False
1611513291636,21.6,40.6,False,False
1611513293995,21.6,41.3,False,False
1611513301708,21.6,40.5,False,False
1611513304067,21.6,41.3,False,False
1611513306425,21.6,41.3,False,False
1611513308784,21.6,41.3,False,False
1611513311148,21.6,40.5,False,False
