timestamp,temperature,humidity,temperature_outlier,humidity_outlier
1612037320.790351,23.0,34.4,,
1612037325.508993,23.0,35.6,,
1612037332.584225,23.0,34.3,False,
1612037334.946492,23.0,35.6,False,
1612037339.664173,23.0,34.3,False,
1612037342.025622,23.0,35.6,False,
1612037344.387793,23.0,35.7,False,
1612037346.749962,23.0,35.6,False,False
1612037349.115331,23.0,35.6,False,False
1612037356.190298,23.0,34.3,False,False
1612037358.550069,23.0,35.6,False,False
1612037363.269905,23.0,35.6,False,False
1612037367.995715,23.0,34.3,False,False
1612037370.361689,23.0,35.6,False,False
1612037372.721824,23.0,35.6,False,False
1612037375.086531,23.0,34.3,False,False
1612037386.885153,23.0,35.7,False,False
1612037389.248987,23.1,35.7,False,False
1612037391.611117,23.0,35.6,False,False
1612037393.976447,23.1,34.4,False,False
1612037396.340717,23.0,35.7,False,False
1612037398.706057,23.0,35.6,False,False
1612037403.421458,23.1,35.7,False,False
1612037405.780172,23.1,35.7,False,False
1612037408.144866,23.1,35.7,False,False
1612037410.506375,23.0,35.6,False,False
1612037415.224141,23.1,35.8,False,False
1612037417.586512,23.1,35.7,False,False
1612037419.948471,23.0,35.7,False,False
1612037422.317089,23.0,35.8,False,False
1612037427.034572,23.0,34.3,False,False
1612037429.392922,23.0,35.6,False,False
1612037434.113379,23.1,34.4,False,False
1612037436.478,23.0,35.6,False,False
1612037438.841485,23.0,35.6,False,False
1612037441.201475,23.0,35.6,False,False
1612037443.563799,23.1,34.4,False,False
1612037445.930549,23.1,35.7,False,False
1612037448.29456,23.0,35.6,False,False
1612037453.01054,23.0,34.4,False,False
1612037460.091732,23.0,35.6,False,False
1612037467.163907,23.0,34.3,False,False
1612037469.522925,23.0,35.6,False,False
1612037471.880044,23.1,35.7,False,False
1612037474.240668,23.0,34.3,False,False
1612037476.603843,23.0,35.6,False,False
1612037481.325297,23.0,34.3,False,False
1612037483.686515,23.1,35.7,False,False
1612037486.050156,23.0,35.6,False,False
1612037488.409663,23.1,34.4,False,False
1612037490.772232,23.1,35.7,False,False
1612037497.853874,23.1,35.7,False,False
1612037502.5761,23.0,34.4,False,False
1612037509.650282,23.1,34.4,False,False
1612037512.01083,23.0,35.7,False,False
1612037514.375228,23.1,35.7,False,False
1612037523.805947,23.1,35.7,False,False
1612037526.164702,23.1,35.7,False,False
1612037528.525199,23.1,35.7,False,False
1612037535.60447,23.1,35.7,False,False
1612037537.966527,23.1,35.7,False,False
1612037545.041712,23.1,35.8,False,False
1612037554.488125,23.0,35.7,False,False
1612037568.640791,23.1,35.7,False,False
1612037573.37131,23.1,34.4,False,False
1612037575.73687,23.1,35.7,False,False
1612037587.53082,23.1,34.4,False,False
1612037589.891165,23.1,35.7,False,False
1612037592.259834,23.1,34.4,False,False
1612037594.624316,23.1,35.7,False,False
1612037599.342427,23.1,34.4,False,False
1612037604.065058,23.1,35.8,False,False
1612037608.78095,23.1,35.7,False,False
1612037611.150536,23.1,34.6,False,False
1612037613.517212,23.1,35.7,False,False
1612037618.23926,23.1,35.8,False,False
1612037622.958042,23.1,35.7,False,False
1612037625.323872,23.1,35.8,False,False
1612037630.049348,23.1,34.4,False,False
1612037632.412908,23.0,35.7,False,False
1612037634.77828,23.1,35.8,False,False
1612037637.141825,23.1,35.8,False,False
1612037641.861226,23.1,34.4,False,False
1612037644.223503,23.1,34.5,False,False
1612037646.584818,23.1,35.8,False,False
1612037651.301835,23.1,34.4,False,False
1612037656.020181,23.1,35.7,False,False
1612037658.380806,23.1,35.8,False,False
1612037660.744205,23.1,34.4,False,False
1612037665.460639,23.1,35.7,False,False
1612037667.82555,23.1,35.7,False,False
1612037670.190534,23.1,35.7,False,False
1612037672.55784,23.1,35.8,False,False
1612037677.279686,23.1,34.4,False,False
1612037682.008889,23.1,35.8,False,False
1612037686.732486,23.1,35.8,False,False
1612037689.099208,23.1,35.8,False,False
1612037691.464616,23.1,35.8,False,False
1612037693.826908,23.1,35.8,False,False
1612037700.907329,23.1,35.8,False,False
1612037705.629582,23.1,35.8,False,False
1612037710.349568,23.1,35.7,False,False
1612037712.709514,23.1,35.7,False,False
1612037717.430007,23.1,34.5,False,False
1612037719.793455,23.1,35.7,False,False
1612037722.155568,23.1,35.8,False,False
1612037724.519764,23.1,35.8,False,False
1612037726.884004,23.1,35.8,False,False
1612037731.602536,23.1,35.8,False,False
1612037733.963966,23.1,35.8,False,False
1612037736.323774,23.1,35.8,False,False
1612037738.684921,23.1,35.8,False,False
1612037741.046808,23.1,35.8,False,False
1612037745.763833,23.1,34.4,False,False
1612037748.130813,23.1,35.7,False,False
1612037757.561707,23.1,34.4,False,False
1612037759.929797,23.1,35.7,False,False
1612037764.653718,23.1,34.4,False,False
1612037769.373856,23.1,35.8,False,False
1612037771.73533,23.1,35.7,False,False
1612037774.099859,23.1,35.8,False,False
1612037778.820102,23.1,34.4,False,False
1612037783.538301,23.1,35.8,False,False
1612037788.256803,23.1,34.4,False,False
1612037795.332794,23.1,34.5,False,False
1612037797.696386,23.1,35.8,False,False
1612037800.058831,23.1,35.8,False,False
1612037802.420586,23.1,35.8,False,False
1612037804.778513,23.1,35.8,False,False
1612037807.142693,23.1,35.8,False,False
1612037811.867013,23.1,34.4,False,False
1612037818.944116,23.1,34.5,False,False
1612037821.308589,23.1,35.8,False,False
1612037826.03054,23.1,34.5,False,False
1612037837.823485,23.1,34.5,False,False
1612037840.184636,23.1,35.8,False,False
1612037842.549538,23.1,35.8,False,False
1612037844.913627,23.1,35.8,False,False
1612037849.632119,23.1,34.5,False,False
1612037851.99791,23.1,35.8,False,False
1612037856.720739,23.1,35.8,False,False
1612037861.44164,23.1,34.5,False,False
1612037863.806407,23.1,35.8,False,False
1612037868.530664,23.1,35.8,False,False
1612037870.897285,23.1,34.4,False,False
1612037875.623238,23.1,35.8,False,False
1612037880.340484,23.1,35.8,False,False
1612037892.134702,23.1,35.8,False,False
1612037896.858787,23.1,34.6,False,False
1612037899.223742,23.1,35.8,False,False
1612037903.947494,23.1,35.8,False,False
1612037906.311241,23.1,35.8,False,False
1612037908.675812,23.1,35.8,False,False
1612037911.045675,23.1,35.8,False,False
1612037913.413213,23.1,34.5,False,False
1612037915.769363,23.1,35.9,False,False
1612037929.925109,23.1,34.6,False,False
1612037939.366552,23.1,34.6,False,False
1612037950.18292,23.1,34.6,False,False
1612037954.897553,23.1,34.6,False,False
1612037962.734557,23.1,34.5,False,False
1612037965.09113,23.2,34.6,False,False
1612037967.457314,23.1,34.6,False,False
